,name,value,type,v,von,nach,value_est,probe,abs_probe
1,sh_10_11,23.778,sh,-0.00012351452154457654,10,11,23.777876485478455,-9.015273820622838e-05,9.015273820622838e-05
5,sh_10_33,23.898,sh,-0.00044216196197986724,10,33,23.89755783803802,-3.342042302989512e-05,3.342042302989512e-05
7,sh_11_10,23.779,sh,-0.0011235145215457987,11,10,23.777876485478455,-9.015273820622838e-05,9.015273820622838e-05
10,sh_11_21,13.04,sh,-0.0004324401701906889,11,21,13.039567559829809,-3.6707849133676973e-06,3.6707849133676973e-06
13,sh_21_11,13.038,sh,0.0015675598298082027,21,11,13.039567559829809,-3.6707849133676973e-06,3.6707849133676973e-06
15,sh_21_22,20.994,sh,0.0008949560862619665,21,22,20.994894956086263,-8.670920728093279e-07,8.670920728093279e-07
20,sh_21_31,25.208,sh,0.0013928627002264306,21,31,25.209392862700224,-5.163032312793803e-08,5.163032312793803e-08
22,sh_22_21,20.995,sh,-0.00010504391373925568,22,21,20.994894956086263,-8.670920728093279e-07,8.670920728093279e-07
27,sh_31_21,25.21,sh,-0.0006071372997760137,31,21,25.209392862700224,-5.163032312793803e-08,5.163032312793803e-08
29,sh_31_32,27.37,sh,0.00037675140260221007,31,32,27.370376751402603,-8.063477384823159e-05,8.063477384823159e-05
35,sh_32_31,27.37,sh,0.00037675140260221007,32,31,27.370376751402603,-8.063477384823159e-05,8.063477384823159e-05
37,sh_32_33,22.674,sh,-0.0022617266790477403,32,33,22.67173827332095,-0.0001859480264201352,0.0001859480264201352
39,sh_33_10,23.897,sh,0.0005578380380213549,33,10,23.89755783803802,-3.342042302989512e-05,3.342042302989512e-05
42,sh_33_32,22.673,sh,-0.0012617266790465181,33,32,22.67173827332095,-0.0001859480264201352,0.0001859480264201352
